image,miou,dice,pixel_acc,cldice,surface_dice_2px,surface_dice_5px
12_VID001_00300.jpg,0.5023351797556157,0.6687391555817398,0.9474058769513315,0.6772151589393616,0.1843830717266044,0.3888336975958673
12_VID001_00305.jpg,0.5835287859380914,0.7369980149645182,0.9604591368227732,0.6495568156242371,0.24535165723524657,0.5291026677445433
12_VID001_00310.jpg,0.585367305632857,0.7384626938535195,0.9680211202938476,0.8223265409469604,0.3694741740344346,0.5307119590507212
12_VID001_00315.jpg,0.40755248764084473,0.579093840150044,0.9430578512396695,0.7876521944999695,0.18484362469927826,0.37750601443464316
12_VID001_00320.jpg,0.5862955228685172,0.7392008795536568,0.958613406795225,0.7721688747406006,0.34303963930114595,0.5434905128686831
12_VID001_00325.jpg,0.48779511108105056,0.6557288802035555,0.9324632690541781,0.505263090133667,0.18374446552814674,0.3698608475648324
12_VID001_00330.jpg,0.614301888735489,0.7610743604052586,0.9655899908172636,0.7948303818702698,0.30002135383301304,0.4883621610079009
12_VID001_00335.jpg,0.5315779431424096,0.6941572193853391,0.9718204775022957,0.5900000333786011,0.3535049288061336,0.5613362541073385
12_VID001_00340.jpg,0.43026219064094523,0.601654988093677,0.9466230486685032,0.7562974691390991,0.19776472816821367,0.3421102481530593
12_VID001_00345.jpg,0.5470576103411692,0.7072233208174123,0.9697497704315886,0.5915353894233704,0.3862191711161963,0.5769132977370963
12_VID001_00350.jpg,0.606354047529276,0.7549444637831795,0.9644444444444444,0.5192878842353821,0.2471400036317414,0.5126203014345379
12_VID001_00355.jpg,0.6932766323957225,0.8188580874875717,0.9738383838383838,0.6554114818572998,0.3762842465753425,0.6016695205479452
12_VID001_00360.jpg,0.6996858433150901,0.8233119621096527,0.9719100091827364,0.623201847076416,0.33777239709443097,0.5544794188861986
12_VID001_00365.jpg,0.596086895976194,0.7469353924009217,0.9467309458218549,0.6805866360664368,0.22261146496815287,0.48550955414012736
12_VID001_00370.jpg,0.4677596220240869,0.6373790571766597,0.9097451790633608,0.7206994295120239,0.06722264341672984,0.22491786707101338
12_VID001_00375.jpg,0.5057778674883421,0.671782841823423,0.9325482093663912,0.8797852396965027,0.22061796130522668,0.39286745596303785
