epoch,train/loss,train/loss_dice,train/loss_bce,train/loss_ce,train/loss_cldice,val/loss,val/miou,val/dice,val/pixel_acc,epoch/time_s
1,1.0261411291881672,0.6428390313120722,0.2702223739867072,0.2261594489940162,0.0,0.7451347479314515,0.4664582947100444,0.6050535244472792,0.9436368180043769,165.44120597839355
2,0.737440166947911,0.4690504739585432,0.18506251165589083,0.16665435886932808,0.0,0.6206729878981908,0.5051342604738294,0.6454937462553834,0.950493830984289,146.45133447647095
3,0.6316483045955306,0.3922232339683088,0.16563218441403027,0.1475857733812147,0.0,0.5496772868163657,0.5237499084436532,0.6641706230062427,0.9532475399248528,141.64782094955444
4,0.5915191081542414,0.3620250668340516,0.16098143885147223,0.13702520481446415,0.0,0.553231219902183,0.5664436977018009,0.7064146948583199,0.9515398422876994,148.4633345603943
5,0.5663089130109954,0.3428555519835463,0.15754943599978696,0.13180785176244755,0.0,0.5017499020605376,0.5623471353993271,0.6987898992769646,0.9568173451857134,147.95366311073303
6,0.5308692106054824,0.3230008200534339,0.14693220790873454,0.12187236744946646,0.0,0.46279257346283303,0.5997694713599754,0.734482837265188,0.960322947213144,146.88097190856934
7,0.5108734070097358,0.30842172914338345,0.14340396605215025,0.1180954247713089,0.0,0.4993769828117255,0.5756362770542954,0.7096516078168695,0.957815432548523,147.89709091186523
8,0.4915972905830272,0.298516347107378,0.13666022334573338,0.11284143777871594,0.0,0.45921110276019933,0.5968976713491209,0.730436645673983,0.9612530946731568,133.55812644958496
9,0.4736582176199237,0.2859066565059921,0.13312031662869223,0.10926248780587344,0.0,0.4512253923849626,0.6060532694513148,0.7387165690913345,0.9617133844982494,136.01825737953186
10,0.47519254120229515,0.28570517602476103,0.134654499724218,0.10966573202060265,0.0,0.46465389602112045,0.6071161860769445,0.740771658673431,0.9607497652371725,130.86260867118835
11,0.46218869165309423,0.27810731107748826,0.13055686586111495,0.10704903073825882,0.0,0.4506575261101578,0.605317068641836,0.7377726639762069,0.9616240942116939,145.22511100769043
12,0.446790106146081,0.2687234920205422,0.12657386120227934,0.1029855063926537,0.0,0.4550630271434784,0.6089614389520703,0.7407220753756436,0.9609551458647757,139.6272304058075
13,0.4415087906480993,0.26666452815231767,0.12407814430669674,0.10153223535100234,0.0,0.43764016565048336,0.6242024134505879,0.7541253729300066,0.9624682263894515,148.9642653465271
14,0.4317536396598353,0.2609135120817759,0.1213043195783224,0.09907161362324525,0.0,0.44168661480600185,0.6113336258765423,0.7425061303557772,0.9624600305701747,144.0849268436432
15,0.4234034817484976,0.25546355039170643,0.11936181885669532,0.09715622602012551,0.0,0.45314943320823436,0.5950640641378634,0.7295485586831064,0.9615893295316985,135.1121163368225
16,0.41741757294506704,0.2501313855347124,0.11893712600096337,0.09669812266687745,0.0,0.46821294219204873,0.5960343424117927,0.7278421887845704,0.9611881292227543,154.75314140319824
17,0.4145960971279052,0.25045125380303096,0.11660144588032972,0.09508679619113218,0.0,0.4629218385075078,0.5931090499415542,0.725923912633549,0.9613439827254324,139.43529748916626
18,0.40928893899454655,0.24574428750473318,0.11630690859504117,0.09447548487088055,0.0,0.4524221515113657,0.6104463701898402,0.7416099905967712,0.961346305139137,145.6803011894226
19,0.40135674745712463,0.24237551932196016,0.112933439222499,0.09209557856315548,0.0,0.4567179263541193,0.5993586827408184,0.7326985879377885,0.9619092500571048,133.4382393360138
20,0.3911651864792537,0.23734120107391504,0.1092196011644544,0.08920876821412624,0.0,0.435958126819495,0.6270386592908339,0.7560190726410259,0.9632622064966144,148.33490800857544
21,0.39017089258119897,0.23625812090716317,0.10926657243839745,0.08929239964311562,0.0,0.4380629905245521,0.6129171226963852,0.7428922160105271,0.9629526076894818,136.68845057487488
22,0.38979077822375063,0.23446676707962183,0.11043807925674522,0.08977186322501562,0.0,0.4485489824504563,0.6096771202304146,0.7381863371892409,0.9622869036414406,148.40793204307556
23,0.3855958549432384,0.2326315899497097,0.10871762247774207,0.0884932857910985,0.0,0.44770496731454673,0.5946305461002118,0.7287024257761059,0.9620892596967292,137.08491778373718
24,0.3760287596184073,0.22716064418403847,0.10565028886482554,0.08643565166343763,0.0,0.4470490199146849,0.6278840119188482,0.7575103617075718,0.9622112765456691,143.78580403327942
25,0.3691822596834701,0.22269961648774378,0.10412651679107865,0.08471225276589393,0.0,0.43294961055119835,0.6176202723474213,0.747008623679479,0.9638472596804301,136.6555051803589
26,0.37259727457483993,0.22546466970906676,0.10455397797513355,0.08515725178119626,0.0,0.4385466450994665,0.6196915799921209,0.749038900570436,0.9632493351445054,147.86075639724731
27,0.36202169407918616,0.2191991433356572,0.10130672764069247,0.08303164800321593,0.0,0.43799647517276535,0.6128699573603543,0.7428478752121781,0.96313046578205,144.11521100997925
28,0.3589922746697676,0.21805873738909232,0.10006781196203625,0.08173145168614619,0.0,0.43685512696251727,0.6265694323814277,0.7534143375627922,0.9630286639386957,147.0085220336914
29,0.3616422386713398,0.21951859170950733,0.10094600739409623,0.08235528027476037,0.0,0.43333247231714656,0.6242040706403328,0.7527250546397585,0.9631862683729692,141.94247674942017
30,0.3560245750598537,0.2161529950725222,0.0993123642738583,0.08111843082294302,0.0,0.43127166972015846,0.6187854878830187,0.7480912177851706,0.9636021014415856,150.9156379699707
31,0.3485200377343928,0.21080844205560037,0.09787204840301889,0.07967909480472213,0.0,0.44172114034493765,0.6175832242676706,0.7455918084491383,0.963203103614576,144.38251423835754
32,0.34611107853141804,0.2087173557975917,0.09765943600570114,0.0794685738757976,0.0,0.42530357151320486,0.6318212902907169,0.7595122304829685,0.9642629179087552,156.36157274246216
33,0.3446036250122543,0.20835900214111922,0.09678517825612165,0.07891888934576395,0.0,0.42405327251463226,0.6252063258127732,0.7530519113396154,0.9646254991040085,150.87280559539795
34,0.3382473873571285,0.20415399201865336,0.09514853681971147,0.07788971636118819,0.0,0.41916364711342435,0.6352811515331268,0.7628284136454264,0.9648660146828854,152.50360560417175
35,0.34149270128567244,0.20634418019970643,0.09602017588190083,0.07825668989816337,0.0,0.4353728902159315,0.6292474295153763,0.7570847034454345,0.9634305979266311,139.19744277000427
36,0.33597253413455,0.20490700399991377,0.09303939634373466,0.07605226699588369,0.0,0.44584305367686533,0.6238490146217924,0.7520888301459225,0.9629355296944127,140.37213253974915
37,0.32915882540559305,0.20023264827080142,0.0915750158787931,0.0747023210797495,0.0,0.4324370526906216,0.6242027232141206,0.7516295915300196,0.9641247171344179,141.75464367866516
38,0.3276561302178114,0.19952983335383886,0.09105715404798105,0.074138286836373,0.0,0.4407684503179608,0.6270591761126663,0.7555500501936132,0.963297120368842,151.80816555023193
39,0.33458999849638893,0.20198752046788782,0.0942762904954188,0.07665237506616462,0.0,0.4253026907191132,0.6362620400659966,0.7647486632520503,0.9635747884259079,142.85939002037048
40,0.3352580297340467,0.20344152936657656,0.09368218488412575,0.07626863084371807,0.0,0.44400224071560485,0.6247854724074855,0.7530014218706074,0.9635588060725819,148.52016019821167
