image,miou,dice,pixel_acc,cldice,surface_dice_2px,surface_dice_5px
12_VID001_00300.jpg,0.506599668652017,0.6725073411239804,0.9377846648301194,0.6350786089897156,0.2065018315018315,0.3212759462759463
12_VID001_00305.jpg,0.574473986607809,0.7297344910032343,0.9506932966023875,0.631904125213623,0.3333333333333333,0.5509813307802777
12_VID001_00310.jpg,0.5291593225546551,0.6920918111661954,0.9576859504132231,0.665973424911499,0.34301994301994304,0.4457739791073124
12_VID001_00315.jpg,0.4850565428121409,0.6532499320103144,0.9473140495867769,0.7437593340873718,0.25176180408738547,0.48766737138830163
12_VID001_00320.jpg,0.6187915274776645,0.7645104597768984,0.9523209366391184,0.7072831392288208,0.33140355831685964,0.5505506918949449
12_VID001_00325.jpg,0.5615427428839613,0.7192153342489713,0.9511707988980717,0.6264779567718506,0.22131405218484754,0.44278528764539454
12_VID001_00330.jpg,0.6107111180685274,0.758312413961036,0.9657415059687787,0.6607049703598022,0.2879202501954652,0.49609069585613763
12_VID001_00335.jpg,0.520775623270422,0.6848816029151352,0.9694191919191919,0.6055092215538025,0.322267620020429,0.5209397344228804
12_VID001_00340.jpg,0.5158160996233161,0.6805787321444252,0.9600114784205693,0.7110120058059692,0.2490134175217048,0.44179163378058406
12_VID001_00345.jpg,0.4129279886138814,0.5844996941683437,0.9469788797061525,0.6068379282951355,0.26417525773195877,0.43906480117820323
12_VID001_00350.jpg,0.418467623142203,0.5900277402381534,0.9338406795224977,0.6512278318405151,0.2092127561238638,0.36573717454937604
12_VID001_00355.jpg,0.5790205695054559,0.7333920541471831,0.9603925619834711,0.7223978042602539,0.33980752405949255,0.5907261592300962
12_VID001_00360.jpg,0.7225872891336735,0.8389557889944502,0.9740266299357209,0.8376641869544983,0.35204176766735035,0.611784449002424
12_VID001_00365.jpg,0.5923640424774417,0.7440058010297493,0.9505624426078971,0.8440071940422058,0.21917257999732226,0.4885526844289731
12_VID001_00370.jpg,0.517297089371051,0.6818665810336151,0.9135766758494032,0.7688560485839844,0.1292384975453819,0.3114510788902843
12_VID001_00375.jpg,0.49329766637675937,0.6606822972855962,0.9212924701561065,0.7205175757408142,0.1706189234052644,0.34621769030116195
12_VID001_00380.jpg,0.6255857476539256,0.7696742525660244,0.9407529843893481,0.785810649394989,0.31935075885328834,0.5580733558178752
12_VID001_00385.jpg,0.6536365707082971,0.7905444065356433,0.9546189164370983,0.8619449734687805,0.3215613382899628,0.5550650557620818
12_VID001_00390.jpg,0.6312969955148429,0.7739816811412946,0.9475436179981634,0.7825325131416321,0.25515904685896706,0.5398472238057234
12_VID001_00395.jpg,0.661733886489753,0.7964378555069153,0.9636868686868687,0.901401162147522,0.28148263027295284,0.5530397022332506
12_VID001_00400.jpg,0.6711553440074925,0.8032231670310994,0.9563842975206611,0.8506895303726196,0.47083583884546,0.6951292844257366
12_VID001_00405.jpg,0.6168406831437261,0.7630197453272756,0.9401010101010101,0.7767301797866821,0.3528318390553247,0.5449376776732998
12_VID001_00410.jpg,0.6166639730843239,0.7628845367385261,0.940103305785124,0.8686826825141907,0.29168935845768434,0.5207493737065679
12_VID001_00415.jpg,0.6445666235455155,0.783874139626679,0.9672015610651974,0.8625764846801758,0.3560821484992101,0.6273301737756714
12_VID001_00420.jpg,0.6503310354249987,0.7881219239839142,0.9647176308539945,0.8692417740821838,0.39894870400580024,0.6298713068696755
12_VID001_00425.jpg,0.7425874769803348,0.8522814341199869,0.9743296602387511,0.9703675508499146,0.3394973070017953,0.6703770197486535
12_VID001_00430.jpg,0.540619569116602,0.701820981575853,0.9617699724517906,0.7297807931900024,0.30644605308514306,0.4736297828335057
12_VID001_00435.jpg,0.6619930031713622,0.7966254995152089,0.9716092745638201,0.8227694630622864,0.3086552217453505,0.5894134477825465
12_VID001_00440.jpg,0.6335160734058284,0.7756471867273139,0.967311753902663,0.778309166431427,0.37111550206574456,0.5825399676666068
12_VID001_00445.jpg,0.7236677740871131,0.8396835921239731,0.9761317722681359,0.9367259740829468,0.39495213228894693,0.7221932114882507
12_VID001_00450.jpg,0.7508150109082756,0.8576748613990904,0.976662075298439,0.8728817701339722,0.4940145000843028,0.719946046197943
12_VID001_00455.jpg,0.6862118428676393,0.8139094097458192,0.9713751147842057,0.9138953685760498,0.45240101095197977,0.6970513900589722
12_VID001_00460.jpg,0.5378091872804083,0.699448529412296,0.9609641873278237,0.8081685900688171,0.36056903155207004,0.5329199343425132
12_VID001_00465.jpg,0.5547964804365305,0.7136580091566089,0.9714256198347108,0.6810462474822998,0.26188939100494946,0.3699160748870239
