epoch,train/loss,train/loss_dice,train/loss_bce,train/loss_ce,val/loss,val/miou,val/dice,val/pixel_acc,epoch/time_s
1,1.1166190067541253,0.70584311138079,0.2867649515566317,0.24802189363727292,0.9524136489087885,0.3113069265855081,0.44700228348374366,0.9218435406684875,249.3066794872284
2,0.820897774904677,0.5199967332256651,0.20640228212747758,0.18899751960941888,0.7831529424046025,0.3966355001836112,0.5323299984588767,0.9378215677810438,109.57020211219788
3,0.7131785384080942,0.4438764625382655,0.18573017496507144,0.16714379913309246,0.7368270433310307,0.4513754055807085,0.5956619471311569,0.93843693299727,121.82474899291992
4,0.6522183981913965,0.3998366473947914,0.17610359574550563,0.15255630963925018,0.6227419826117429,0.45938783251877985,0.6060313322327354,0.9467069047870058,110.35535502433777
5,0.6291844335863891,0.3823581467554407,0.17341969345958488,0.14681318802306953,0.5693389637903734,0.5211064477761587,0.6668641258369793,0.9516334952730121,113.46331858634949
6,0.5944068323350647,0.36077987881540097,0.16448275555395386,0.1382883952876318,0.5729793772552952,0.5118072913451628,0.6579857129039186,0.9511568716078094,121.50417017936707
7,0.5870765863981062,0.35579457352462324,0.1631348582870752,0.1362943116683983,0.5715457327438124,0.5153947165518096,0.6585306095354485,0.9526999852874062,106.99813652038574
8,0.5671746884734885,0.3431632291923449,0.15829824788622485,0.13142642221115167,0.5764453380396872,0.5181517405943437,0.6585841808355216,0.9517565546613751,132.9716682434082
9,0.5559412411983731,0.3355967789020353,0.15580006610710645,0.12908879408558596,0.5308871579892708,0.5491439387653814,0.6908602833747863,0.9549578298221935,110.33127069473267
10,0.5470223351879028,0.33009418989848166,0.15346934750531482,0.12691759454104506,0.5568385334629001,0.5155630311279585,0.6584420173457175,0.9535403450330099,114.0869083404541
11,0.544428847455284,0.3282754010367162,0.15308383052933563,0.12613923032451602,0.5474657293521996,0.5476060618956884,0.6896169648025975,0.9528919685970653,111.88992238044739
12,0.530633754348292,0.3217909970329803,0.14786874083350005,0.12194803303595886,0.5462983447493929,0.5175356422409867,0.6569721258950956,0.9542007771405306,108.5461277961731
13,0.5200484603064731,0.31218706890217307,0.14727672715354892,0.12116932712712335,0.5482414736892238,0.5255666122292028,0.6665545701980591,0.9537871956825257,128.7060625553131
14,0.5139301940364746,0.30920292347380257,0.14517441995224906,0.1191057009242692,0.5431446195551843,0.5370930067517541,0.6780136688189073,0.9541280096227472,115.59801888465881
15,0.5064834649412377,0.3055636149008297,0.14230019507332914,0.11723930716369917,0.5241536757259658,0.5377997757810535,0.6799622635046642,0.955442996819814,107.42634105682373
16,0.498288583842296,0.2991061954822355,0.14130036356379685,0.1157640484423892,0.5254315236301134,0.5458760912671233,0.6867925123734908,0.9555633129495563,118.15115404129028
17,0.5005083830032534,0.3009211048339177,0.14158288320725404,0.11600879242697966,0.5211221915302855,0.5316629123507124,0.6740296526388688,0.9552892782471397,99.8687789440155
18,0.4883025856272688,0.29394568598386156,0.13785969256197364,0.11299441645591005,0.533417221994111,0.5357377336783843,0.6738705043991406,0.9555547847892298,123.53149557113647
19,0.48892463662670654,0.29381155053388724,0.13835392974823424,0.11351831229855713,0.5070540922157692,0.558283494458054,0.6979185765439814,0.9574481743754762,111.89508104324341
20,0.48085839774423433,0.29031655418062674,0.13515818173300873,0.11076732510067884,0.5260298437241352,0.5517894606698643,0.692814332969261,0.9548650134693493,113.66268229484558
21,0.4867757823282075,0.29104052770485,0.139052235175973,0.11336604012447654,0.49845222334067024,0.5697411143418515,0.7087440292040507,0.9581372019016381,129.01125311851501
22,0.470528061065859,0.28193353183061176,0.1339655186366109,0.10925802016287174,0.4939654256358291,0.5624528996872179,0.7012364887829983,0.9585756872639511,112.37721061706543
23,0.4691840774225957,0.28164511791710717,0.13318641035302173,0.10870509770454713,0.502106865788951,0.5672597532922571,0.7051496751380689,0.9575304432348771,115.76518726348877
24,0.4615630503707719,0.27726165426587596,0.1308403312798264,0.10692213132832815,0.5020238442854448,0.5676318920019902,0.7062687797979875,0.9578260483163776,125.33979082107544
25,0.45418731034959403,0.27387223127976207,0.12786927818528657,0.10489160051044909,0.5090344802899794,0.5633453590400291,0.7018838158159545,0.95715072443991,105.40374422073364
26,0.4541195051762664,0.2732548093332828,0.12842939582119867,0.10487059912490614,0.5157864466761097,0.5641502326185053,0.7015490210417545,0.9560431827198376,128.35565519332886
27,0.4516454476754642,0.27201437591349037,0.12750550895857002,0.10425112721989456,0.49217780485297696,0.5667739001187411,0.7044954039833763,0.9579726894696553,106.64578652381897
28,0.45158549443031976,0.2713204440561313,0.1279711591097915,0.10458778230455315,0.4906783637675372,0.5635664449496702,0.7015284807393045,0.9583381894863013,109.62838983535767
29,0.44509630174312775,0.26816140031351626,0.12561464335733247,0.1026405162168938,0.5083143654194745,0.5649138462362867,0.703764551155495,0.9567748600786382,125.05942225456238
30,0.4355442171536603,0.2616323678238878,0.1234014376636269,0.10102082322378761,0.48771755830808117,0.5747422406167695,0.7124312859593016,0.9584702022147901,112.41240382194519
31,0.4387578474954494,0.2641117562368078,0.1239107919549479,0.10147059671219112,0.47134344713254406,0.5953371631376672,0.7312233511245612,0.9595472848776615,135.07106184959412
32,0.43598720593359863,0.26338396975137657,0.12247909177637216,0.100248288283649,0.49510402074365906,0.5809472422708165,0.7170368351719596,0.9583646853764852,107.09556603431702
33,0.43194211325020465,0.2606810193617367,0.12152345264420926,0.0994752827561596,0.4911625067392985,0.5793839417623751,0.7171620540546648,0.9588900883992513,116.85772109031677
34,0.4298526210692322,0.2586627478738433,0.12165178418593499,0.09907617455402624,0.494565207307989,0.5712971725247123,0.7071092695900888,0.958637411666639,114.7350447177887
35,0.42773702130155655,0.25772812759991987,0.1205540020850677,0.09890978456411546,0.47970910514845994,0.5839387811494596,0.7194662733511491,0.959836321888548,107.37142443656921
36,0.4205774684843508,0.2540202242656819,0.11814072036627427,0.09683304704653406,0.5041660493070429,0.5647857174728856,0.7014603475729625,0.9579455328710151,142.81307005882263
37,0.41878160518928637,0.2512449869831789,0.11892557442911621,0.09722208873305506,0.5044453365333152,0.563994706399513,0.7017470832123901,0.9576487776004907,113.55171251296997
38,0.41116027450098575,0.2480857058636193,0.11567239314679383,0.09480435094859414,0.47999761709661193,0.5902332080133034,0.7263348281383515,0.9597203634001992,117.02366352081299
39,0.420906116343239,0.25405538302023434,0.11835173372794124,0.096997999356499,0.47770463715900074,0.5831873327493667,0.7185765423557975,0.9601046305714231,116.46882176399231
40,0.4154340693672884,0.24985942875297323,0.11748469205012599,0.09617989531998496,0.48346695376164983,0.5823888213345498,0.7155413911198125,0.9602115732250791,111.62807035446167
41,0.4084668873293886,0.2470835966971314,0.11450689300099044,0.09375279444875648,0.49657642714905015,0.5740216484575561,0.7092764254772301,0.9593654408599391,122.77783799171448
42,0.40283443482176773,0.24259595083958893,0.11375486333538028,0.092967243413034,0.4792231419772813,0.5762075407035423,0.7123159849282467,0.9597101948478005,109.64994835853577
43,0.4029402368855708,0.2445267960863206,0.11226639102023203,0.092294097901548,0.48757485955050495,0.5752328616200071,0.7106794667966438,0.9591797109806176,119.15052771568298
44,0.39970316901369,0.2423568916552275,0.11159196042103096,0.0915086343920636,0.48041536112626393,0.586371280930259,0.7206477027950865,0.9599050149773106,123.37118101119995
45,0.40310640207772114,0.24401626980420454,0.11297030393576737,0.09223965773160017,0.4941771242654685,0.5759248211528316,0.7107290466626485,0.959141140273123,113.02538108825684
46,0.3911199601819214,0.23714042635797297,0.10913268081409838,0.08969370590396297,0.4789683652646614,0.5825837510101723,0.7174438635508219,0.9602442542711894,135.36657285690308
47,0.3890074223858639,0.23477296146374305,0.10946801118191006,0.08953289901747287,0.49193149642510847,0.5808343669681838,0.7148823257648583,0.9591266317801042,110.42507410049438
48,0.38807457291964187,0.23461406485548297,0.10893570838622676,0.08904960057110463,0.4766063356038296,0.5913610009532986,0.725030308600628,0.9599480549494426,122.11181783676147
49,0.3860156523660549,0.23529421183669452,0.106846677096,0.08774952449772543,0.4771776450402809,0.5899280005332196,0.7244403996250847,0.9602314338539586,117.66200065612793
50,0.3859255593089224,0.23259483170740813,0.10885313719294025,0.08895518088225023,0.5059970904480328,0.5647207829988364,0.7003276517896941,0.9593371272087097,115.95191931724548
51,0.383933606194061,0.23191818924783503,0.1078393965670206,0.08835204180366206,0.4844800367499843,0.5818650196899068,0.7161007724025032,0.9597384590091127,127.11857628822327
52,0.3788133265613352,0.22883820221262072,0.10640211269548795,0.08714602316901522,0.47545663542819744,0.5872065890919078,0.721926832560337,0.9602002422014873,107.47086119651794
53,0.37959809106530495,0.2292276991223826,0.1066497185529725,0.08744134504384207,0.4677005978244724,0.6021778236735951,0.7352582947774366,0.960492011272546,117.94446396827698
54,0.37641670290127544,0.22750454643397655,0.10574487051338825,0.08633457101809168,0.4695791528080449,0.5891412169644327,0.7227412171436078,0.9612685337211146,113.2452347278595
